scenario,condition,dose,ground_truth_invalid,auc,clean_or_reference_auc,auc_delta,matched_delta,temporal_passed,forbidden_passed,oracle_proximity,oracle_proximity_alert,audit_pass_candidate,output_classes,interpretation
incomplete_provenance,complete_declared,0.0,False,0.8392558235415378,0.8392558235415378,0.0,0.5004234831779434,True,True,0.0,False,True,audit_pass_candidate;future_physiology_invalid_comparator;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,contract violation is directly auditable from declared provenance
incomplete_provenance,sentinel_only,0.0,False,0.8392558235415378,0.8392558235415378,0.0,0.5004234831779434,True,True,0.0,False,True,audit_pass_candidate;future_physiology_invalid_comparator;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,detectable only after score geometry moves toward oracle sentinel
incomplete_provenance,score_only,0.0,False,0.8392558235415378,0.8392558235415378,0.0,0.5004234831779434,True,True,,,True,audit_pass_candidate;valid_early_hidden_state_signal,no oracle provenance available to LAMP
incomplete_provenance,complete_declared,0.0001,True,0.8392867450010307,0.8392558235415378,3.092145949290526e-05,0.5004234831779434,False,False,0.00019236441514816342,False,False,forbidden_feature_contamination;future_physiology_invalid_comparator;oracle_label_leakage_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,contract violation is directly auditable from declared provenance
incomplete_provenance,sentinel_only,0.0001,True,0.8392867450010307,0.8392558235415378,3.092145949290526e-05,0.5004234831779434,True,True,0.00019236441514816342,False,True,audit_pass_candidate;future_physiology_invalid_comparator;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,detectable only after score geometry moves toward oracle sentinel
incomplete_provenance,score_only,0.0001,True,0.8392867450010307,0.8392558235415378,3.092145949290526e-05,0.5004234831779434,True,True,,,True,audit_pass_candidate;valid_early_hidden_state_signal,false-pass risk: score provenance and oracle sentinel are both missing
incomplete_provenance,complete_declared,0.0005,True,0.8394784580498866,0.8392558235415378,0.00022263450834880683,0.5004234831779434,False,False,0.0013850237890660861,True,False,forbidden_feature_contamination;future_physiology_invalid_comparator;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,contract violation is directly auditable from declared provenance
incomplete_provenance,sentinel_only,0.0005,True,0.8394784580498866,0.8392558235415378,0.00022263450834880683,0.5004234831779434,True,True,0.0013850237890660861,True,False,future_physiology_invalid_comparator;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,detectable only after score geometry moves toward oracle sentinel
incomplete_provenance,score_only,0.0005,True,0.8394784580498866,0.8392558235415378,0.00022263450834880683,0.5004234831779434,True,True,,,True,audit_pass_candidate;valid_early_hidden_state_signal,false-pass risk: score provenance and oracle sentinel are both missing
incomplete_provenance,complete_declared,0.001,True,0.839678416821274,0.8392558235415378,0.0004225932797361498,0.5004234831779434,False,False,0.002628980340356852,True,False,forbidden_feature_contamination;future_physiology_invalid_comparator;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,contract violation is directly auditable from declared provenance
incomplete_provenance,sentinel_only,0.001,True,0.839678416821274,0.8392558235415378,0.0004225932797361498,0.5004234831779434,True,True,0.002628980340356852,True,False,future_physiology_invalid_comparator;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,detectable only after score geometry moves toward oracle sentinel
incomplete_provenance,score_only,0.001,True,0.839678416821274,0.8392558235415378,0.0004225932797361498,0.5004234831779434,True,True,,,True,audit_pass_candidate;valid_early_hidden_state_signal,false-pass risk: score provenance and oracle sentinel are both missing
incomplete_provenance,complete_declared,0.002,True,0.8400721500721501,0.8392558235415378,0.0008163265306122547,0.5004234831779434,False,False,0.0050784205599087515,True,False,forbidden_feature_contamination;future_physiology_invalid_comparator;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,contract violation is directly auditable from declared provenance
incomplete_provenance,sentinel_only,0.002,True,0.8400721500721501,0.8392558235415378,0.0008163265306122547,0.5004234831779434,True,True,0.0050784205599087515,True,False,future_physiology_invalid_comparator;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,detectable only after score geometry moves toward oracle sentinel
incomplete_provenance,score_only,0.002,True,0.8400721500721501,0.8392558235415378,0.0008163265306122547,0.5004234831779434,True,True,,,True,audit_pass_candidate;valid_early_hidden_state_signal,false-pass risk: score provenance and oracle sentinel are both missing
